number,person,from,to
29,"Spooner, Senator WH",19.12.1949,11.5.1951
29,"Cooper, Senator WJ (CP)",19.12.1949,11.5.1951
30,"Menzies, RG",11.5.1951,11.1.1956
30,"Fadden, AW (CP)",11.5.1951,11.1.1956
30,"Harrison, EJ",11.5.1951,11.1.1956
30,"Holt, HE",11.5.1951,11.1.1956
30,"McEwen, J (CP)",11.5.1951,11.1.1956
30,"Casey, RG",11.5.1951,11.1.1956
30,"McBride, PAM",11.5.1951,17.7.1951
30,"McMahon, W",17.7.1951,11.1.1956
30,"Francis, J",9.7.1954,7.11.1955
30,"Townley, AG",9.7.1954,9.7.1954
30,"Page, ECG (CP)",11.5.1951,11.1.1956
30,"O'Sullivan, Senator N",11.5.1951,7.11.1955
30,"McLeay, Senator G",11.5.1951,14.9.1955
30,"Spicer, Senator JA",14.9.1955,11.1.1956
30,"Paltridge, Senator SD",27.9.1955,11.1.1956
30,"Anthony, HL (CP)",11.5.1951,9.7.1954
30,"Spooner, Senator WH",11.5.1951,11.1.1956
30,"Cooper, Senator WJ (CP)",11.5.1951,11.1.1956
30,"Beale, OH",11.5.1951,11.1.1956
30,"Kent Hughes, WS",11.5.1951,11.1.1956
30,"Hasluck, PMC",11.5.1951,11.1.1956
42,"Whitlam, EG",19.12.1972,6.11.1973
42,"Barnard, LH",19.12.1972,9.10.1973
42,"Enderby, KE",9.10.1973,19.10.1973
42,"Willesee, Senator DR",6.11.1973,6.11.1973
42,"Cairns, JF",19.12.1972,9.10.1973
42,"Hayden, WG",19.12.1972,12.6.1974
42,"Crean, F",19.12.1972,12.6.1974
42,"Murphy, Senator LK",19.12.1972,12.6.1974
42,"Bowen, LF",30.11.1973,12.6.1974
42,"Stewart, FE",30.11.1973,12.6.1974
42,"McClelland, Senator D",19.12.1972,12.6.1974
42,"Patterson, RA",19.12.1972,12.6.1974
42,"Bishop, Senator R",19.12.1972,12.6.1974
42,"Daly, FMD",19.12.1972,12.6.1974
42,"Cameron, CR",19.12.1972,12.6.1974
42,"Uren, T",19.12.1972,12.6.1974
42,"Jones, CK",19.12.1972,30.11.1973
42,"Beazley, KE",19.12.1972,12.6.1974
42,"Cavanagh, Senator JL",19.12.1972,12.6.1974
42,"Johnson, LR",9.10.1973,12.6.1974
42,"Wriedt, Senator KS",19.12.1972,12.6.1974
42,"Bryant, GM",19.12.1972,12.6.1974
42,"Connor, RFX",19.12.1972,12.6.1974
42,"Grassby, AJ",19.12.1972,12.6.1974
42,"Everingham, DN",19.12.1972,12.6.1974
42,"Cass, MH",19.12.1972,12.6.1974
42,"Morrison, WL",19.12.1972,12.6.1974
43,"Whitlam, EG",12.6.1974,14.7.1975
43,"Cairns, JF",12.6.1974,2.7.1975
43,"Crean, F",14.7.1975,11.12.1974
43,"Connor, RFX",12.6.1974,14.10.1975
43,"Wriedt, Senator KS",14.10.1975,21.10.1975
43,"Hayden, WG",12.6.1974,11.11.1975
43,"Wheeldon, Senator JM",6.6.1975,11.11.1975
43,"Murphy, LK",12.6.1974,10.2.1975
43,"Enderby, KE",10.2.1975,10.2.1975
43,"Cavanagh, Senator JL",6.6.1975,11.11.1975
43,"Willesee, Senator DR",12.6.1974,11.11.1975
43,"Daly, FM",12.6.1974,11.11.1975
43,"McClelland, Senator D",12.6.1974,11.11.1975
43,"Cass, MH",6.6.1975,6.6.1975
43,"Barnard, LH",12.6.1974,6.6.1975
43,"Morrison, WL",6.6.1975,6.6.1975
43,"Patterson, RA",21.10.1975,21.10.1975
43,"Keating, PJ",21.10.1975,11.11.1975
43,"Cameron, CR",12.6.1974,11.11.1975
43,"McClelland, Senator JR",6.6.1975,6.6.1975
43,"Beazley, KE",12.6.1974,11.11.1975
43,"Bowen, LF",12.6.1974,11.11.1975
43,"Uren, T",12.6.1974,11.11.1975
43,"Bishop, Senator R",12.6.1974,11.11.1975
43,"Johnson, LR",12.6.1974,11.11.1975
43,"Riordan, JM",6.6.1975,11.11.1975
43,"Jones, CK",12.6.1974,11.11.1975
43,"Everingham, DN",12.6.1974,11.11.1975
43,"Bryant, GM",12.6.1974,11.11.1975
43,"Berinson, JM",14.7.1975,11.11.1975
43,"Cavanagh, JL",12.6.1974,6.6.1975
43,"Stewart, FE",12.6.1974,11.11.1975
44,"Fraser, JM",11.11.1975,22.12.1975
44,"Anthony, JD (NCP)",11.11.1975,22.12.1975
44,"Lynch, PR",11.11.1975,22.12.1975
44,"Sinclair, IMcC (NCP)",11.11.1975,22.12.1975
44,"Withers, Senator RG",11.11.1975,22.12.1975
44,"Greenwood, Senator IJ",11.11.1975,22.12.1975
44,"Cotton, Senator RC",11.11.1975,22.12.1975
44,"Nixon, PJ (NCP)",11.11.1975,22.12.1975
44,"Peacock, AS",11.11.1975,22.12.1975
44,"Chipp, DL",11.11.1975,22.12.1975
44,"Killen, DJ",11.11.1975,22.12.1975
44,"Drake-Brockman, Senator TC (NCP)",11.11.1975,22.12.1975
44,"Carrick, Senator JL",11.11.1975,22.12.1975
44,"Street, AA",11.11.1975,22.12.1975
44,"Guilfoyle, Senator MGC",11.11.1975,22.12.1975
NA,NA,NA,NA
