number,cabinet,cabinet_party,cabinet_from,cabinet_to,person,from,to
18,Lyons Ministry,UAP-CP Coalition,7.11.1938,7.4.1939,"Lyons, JA",7.11.1938,7.4.1939
18,Lyons Ministry,UAP-CP Coalition,7.11.1938,7.4.1939,"Page, ECG (CP)",7.11.1938,7.4.1939
18,Lyons Ministry,UAP-CP Coalition,7.11.1938,7.4.1939,"Menzies, RG",7.11.1938,20.3.1939
18,Lyons Ministry,UAP-CP Coalition,7.11.1938,7.4.1939,"Hughes, WM",20.3.1939,7.4.1939
18,Lyons Ministry,UAP-CP Coalition,7.11.1938,7.4.1939,"Casey, RG",7.11.1938,7.4.1939
18,Lyons Ministry,UAP-CP Coalition,7.11.1938,7.4.1939,"White, TW",7.11.1938,8.11.1938
18,Lyons Ministry,UAP-CP Coalition,7.11.1938,7.4.1939,"Perkins, JA",8.11.1938,8.11.1938
18,Lyons Ministry,UAP-CP Coalition,7.11.1938,7.4.1939,"Thorby, HVC (CP)",7.11.1938,7.4.1939
18,Lyons Ministry,UAP-CP Coalition,7.11.1938,7.4.1939,"Street, GA",7.11.1938,7.4.1939
18,Lyons Ministry,UAP-CP Coalition,7.11.1938,7.4.1939,"McEwen, J (CP)",7.11.1938,7.4.1939
18,Lyons Ministry,UAP-CP Coalition,7.11.1938,7.4.1939,"McLeay, Senator G",7.11.1938,7.4.1939
18,Lyons Ministry,UAP-CP Coalition,7.11.1938,7.4.1939,"Foll, Senator HS",7.11.1938,7.4.1939
18,Lyons Ministry,UAP-CP Coalition,7.11.1938,7.4.1939,"Cameron, AG (CP)",7.11.1938,7.4.1939
18,Lyons Ministry,UAP-CP Coalition,7.11.1938,7.4.1939,"Harrison, EJ",8.11.1938,7.4.1939
18,Lyons Ministry,UAP-CP Coalition,7.11.1938,7.4.1939,"Thompson, VC (CP)",7.11.1938,7.4.1939
