number,ministry,ministry_party,ministry_from,ministry_to,level,job,person,job_from,job_to,comment,,
12,Hughes Ministry ,National Labour ,14.11.1916,17.2.1917,Minister,Postmaster-General,"Webster, W",14.11.1916,17.2.1917,,,
12,Hughes Ministry ,National Labour ,14.11.1916,17.2.1917,Minister,Treasurer,"Poynton, A",14.11.1916,17.2.1917,,,
12,Hughes Ministry ,National Labour ,14.11.1916,17.2.1917,Minister,Minister for Trade and Customs ,"Archibald, WO",14.11.1916,17.2.1917,,,
12,Hughes Ministry ,National Labour ,14.11.1916,17.2.1917,Minister,Minister for Home and Territories,"Bamford, FW",14.11.1916,17.2.1917,,,
12,Hughes Ministry ,National Labour ,14.11.1916,17.2.1917,Minister,Minister for Works and Railways ,"Lynch, Senator PJ",14.11.1916,17.2.1917,,,
12,Hughes Ministry ,National Labour ,14.11.1916,17.2.1917,Minister,Vice-President of Executive Council,"Spence, WG",14.11.1916,17.2.1917,,,
12,Hughes Ministry ,National Labour ,14.11.1916,17.2.1917,Assistant ministers/Parliamentary secretaries,Assistant Minister,"Russell, Senator EJ",14.11.1916,17.2.1917,,,
12,Hughes Ministry ,National Labour ,14.11.1916,17.2.1917,Assistant ministers/Parliamentary secretaries,Assistant Minister,"Smith, WHL",14.11.1916,17.2.1917,,,
13,Hughes Ministry ,Nationalist ,17.2.1917,10.1.1918,Minister,Prime Minister,"Hughes, WM",17.2.1917,10.1.1918,,,
13,Hughes Ministry ,Nationalist ,17.2.1917,10.1.1918,Minister,Attorney-General,"Hughes, WM",17.2.1917,10.1.1918,,,
13,Hughes Ministry ,Nationalist ,17.2.1917,10.1.1918,Minister,Minister for the Navy,"Cook, J",17.2.1917,10.1.1918,,,
13,Hughes Ministry ,Nationalist ,17.2.1917,10.1.1918,Minister,Treasurer,"Forrest, J",17.2.1917,10.1.1918,,,
13,Hughes Ministry ,Nationalist ,17.2.1917,10.1.1918,Minister,Minister for Defence,"Pearce, Senator GF",17.2.1917,10.1.1918,,,
13,Hughes Ministry ,Nationalist ,17.2.1917,10.1.1918,Minister,Vice-President of Executive Council,"Millen, Senator ED",17.2.1917,16.11.1917,,,
13,Hughes Ministry ,Nationalist ,17.2.1917,10.1.1918,Minister,Vice-President of Executive Council,"Groom, LE",16.11.1917,10.1.1918,,,
13,Hughes Ministry ,Nationalist ,17.2.1917,10.1.1918,Minister,Minister for Repatriation,"Millen, Senator ED",28.9.1917,10.1.1918,,,
13,Hughes Ministry ,Nationalist ,17.2.1917,10.1.1918,Minister,Minister for Works and Railways ,"Watt, WA",17.2.1917,10.1.1918,,,
13,Hughes Ministry ,Nationalist ,17.2.1917,10.1.1918,Minister,Minister for Home and Territories ,"Glynn, PMcM",17.2.1917,10.1.1918,,,
13,Hughes Ministry ,Nationalist ,17.2.1917,10.1.1918,Minister,Minister for Trade and Customs ,"Jensen, JA",17.2.1917,10.1.1918,,,
13,Hughes Ministry ,Nationalist ,17.2.1917,10.1.1918,Minister,Postmaster-General,"Webster, W",17.2.1917,10.1.1918,,,
13,Hughes Ministry ,Nationalist ,17.2.1917,10.1.1918,Minister,Honorary Minister ,"Russell, Senator EJ",17.2.1917,10.1.1918,,,
13,Hughes Ministry ,Nationalist ,17.2.1917,10.1.1918,Minister,Honorary Minister ,"Groom, LE",17.2.1917,16.11.1917,,,
14,Hughes Ministry ,Nationalist ,10.1.1918,9.2.1923,Minister,Prime Minister,"Hughes, WM",10.1.1918,9.2.1923,,,
14,Hughes Ministry ,Nationalist ,10.1.1918,9.2.1923,Minister,Attorney-General,"Hughes, WM",10.1.1918,21.12.1921,,,
14,Hughes Ministry ,Nationalist ,10.1.1918,9.2.1923,Minister,Attorney-General,"Groom, LE",21.12.1921,9.2.1923,,,
14,Hughes Ministry ,Nationalist ,10.1.1918,9.2.1923,Minister,Minister for External Affairs,"Hughes, WM",21.12.1921,9.2.1923,,,
14,Hughes Ministry ,Nationalist ,10.1.1918,9.2.1923,Minister,Minister for the Navy,"Cook, J",10.1.1918,28.7.1920,,,
14,Hughes Ministry ,Nationalist ,10.1.1918,9.2.1923,Minister,Minister for the Navy,"Smith, WHL",28.7.1920,21.12.1921,,,
14,Hughes Ministry ,Nationalist ,10.1.1918,9.2.1923,Minister,Treasurer,"Forrest, J",10.1.1918,27.3.1918,,,
14,Hughes Ministry ,Nationalist ,10.1.1918,9.2.1923,Minister,Treasurer,"Watt, WA",27.3.1918,15.6.1920,,,
14,Hughes Ministry ,Nationalist ,10.1.1918,9.2.1923,Minister,Treasurer,"Cook, J",28.7.1920,11.11.1921,,,
14,Hughes Ministry ,Nationalist ,10.1.1918,9.2.1923,Minister,Treasurer,"Bruce, SM",21.12.1921,9.2.1923,,,
14,Hughes Ministry ,Nationalist ,10.1.1918,9.2.1923,Minister,Minister for Defence,"Pearce, Senator GF",10.1.1918,21.12.1921,,,
14,Hughes Ministry ,Nationalist ,10.1.1918,9.2.1923,Minister,Minister for Repatriation,"Millen, Senator ED",10.1.1918,9.2.1923,,,
14,Hughes Ministry ,Nationalist ,10.1.1918,9.2.1923,Minister,Minister for Works and Railways,"Watt, WA",10.1.1918,27.3.1918,,,
14,Hughes Ministry ,Nationalist ,10.1.1918,9.2.1923,Minister,Minister for Works and Railways,"Groom, LE",27.3.1918,21.12.1921,,,
14,Hughes Ministry ,Nationalist ,10.1.1918,9.2.1923,Minister,Minister for Works and Railways,"Foster, RW",21.12.1921,9.2.1923,,,
14,Hughes Ministry ,Nationalist ,10.1.1918,9.2.1923,Minister,Minister for Home and Territories,"Glynn, PMcM",10.1.1918,3.2.1920,,,
14,Hughes Ministry ,Nationalist ,10.1.1918,9.2.1923,Minister,Minister for Home and Territories,"Poynton, A",4.2.1920,21.12.1921,,,
14,Hughes Ministry ,Nationalist ,10.1.1918,9.2.1923,Minister,Minister for Home and Territories,"Pearce, Senator GF",21.12.1921,9.2.1923,,,
14,Hughes Ministry ,Nationalist ,10.1.1918,9.2.1923,Minister,Minister for Trade and Customs,"Jensen, JA",10.1.1918,13.12.1918,,,
14,Hughes Ministry ,Nationalist ,10.1.1918,9.2.1923,Minister,Minister for Trade and Customs,"Watt, WA",13.12.1918,17.1.1919,,,
14,Hughes Ministry ,Nationalist ,10.1.1918,9.2.1923,Minister,Minister for Trade and Customs,"Massy-Greene, W",17.1.1919,21.12.1921,,,
14,Hughes Ministry ,Nationalist ,10.1.1918,9.2.1923,Minister,Minister for Trade and Customs,"Rodgers, AS",21.12.1921,5.2.1923,,,
14,Hughes Ministry ,Nationalist ,10.1.1918,9.2.1923,Minister,Postmaster-General,"Webster, W",10.1.1918,3.2.1920,,,
14,Hughes Ministry ,Nationalist ,10.1.1918,9.2.1923,Minister,Postmaster-General,"Wise, GH",4.2.1920,21.12.1921,,,
14,Hughes Ministry ,Nationalist ,10.1.1918,9.2.1923,Minister,Postmaster-General,"Poynton, A",21.12.1921,5.2.1923,,,
14,Hughes Ministry ,Nationalist ,10.1.1918,9.2.1923,Minister,Minister for Health,"Massy-Greene, W",10.3.1921,5.2.1923,,,
